Symbol,q1_max,q2_max,q3_max,q4_max,q1_mean,q2_mean,q3_mean,q4_mean,q1_min,q2_min,q3_min,q4_min,q1_std,q2_std,q3_std,q4_std
CVS,83.92,82.79,83.31,80.91,79.83435484,78.96015873,79.09206349,72.70333333,74.8,75.95,75.35,66.8,1.918380995,1.82370634,1.908810775,3.062169798
CVX,117.85,109.43,117.99,125.98,112.1664516,105.9390476,109.1409524,118.5803175,106.28,103.11,103.04,113.54,3.249539234,1.631714628,4.516512612,2.855076389
CXO,144.46,134.01,132.25,153.92,134.6106452,126.3895238,120.317619,139.0244444,125.18,113.88,108.05,130.12,5.438702796,5.604385791,7.851795914,5.640074862
D,78.65,81.41,81.34,84.91,75.64677419,78.60587302,77.81571429,81.01253968,71.68,76.57,75.6,75.95,1.812046008,1.354443863,1.215643616,2.204822404
DAL,51.44,53.87,55.48,56.43,48.81741935,49.00063492,49.84126984,52.24150794,45.52,44.03,45.21,48.07,1.812323873,2.96190701,2.766987119,2.283605249
DE,111.22,127.9,132.41,158.75,108.3496774,117.3504762,123.3561905,139.9277778,104.05,107.54,115.44,127.29,1.910218396,6.907176826,5.08177275,10.79265408
DFS,73.94,67.95,64.48,77.5,70.2016129,61.93793651,60.64666667,68.79603175,66.79,58.69,57.66,63.81,1.582722487,2.758684913,1.561663712,4.464628562
DG,77.86,78.91,81.05,93.38,73.23790323,72.03142857,74.90904762,85.97611111,68.55,68.35,69.04,79.18,2.404244973,2.387498932,2.84447269,4.513371124
DGX,99.74,111.16,110.79,100.24,95.32548387,105.732381,106.1387302,94.80095238,90.54,97.11,91.96,90.86,2.884095834,4.176618757,4.25727328,2.845852508
DHI,33.85,34.57,39.93,51.45,31.015,33.40174603,36.4515873,46.58206349,27.56,32.28,34.36,39.98,1.941555697,0.51014084,0.934058447,3.877924353
DHR,87.76,86.84,88.45,94.62,83.95983871,84.43174603,83.48396825,91.72222222,78.78,81.7,79.29,85.26,2.575503447,1.402718029,2.382300013,2.771187264
DIS,113.39,115.84,110.61,111.81,110.1048387,109.5026984,102.8666667,103.0179365,106.08,103.94,97.06,96.93,1.73925247,3.668819009,3.759573586,4.235982637
DISCA,29.62,29.4,27.18,23.73,28.04209677,27.07396825,23.54888889,19.53325397,26.34,25.11,20.8,16.28,0.656503748,1.416717628,2.061626441,1.925547923
DISCK,28.87,28.9,26.21,22.47,27.39032258,26.38420635,22.45190476,18.40492063,25.76,24.39,19.62,15.27,0.602293343,1.459832681,2.194236481,1.867740461
DISH,64,66.19,66,54.32,61.82725806,63.05349206,59.12984127,49.84301587,58.02,58.04,52.15,46.49,1.205264639,1.788046473,4.453832526,1.66729512
DLR,108.33,120.54,126.04,123.88,105.1916129,114.45,115.5347619,117.7547619,99.36,105.88,109.36,109.31,2.044679777,3.54884261,3.415155906,3.811272693
DLTR,80,83.13,86.82,109.46,76.86129032,77.18952381,76.29650794,97.72587302,73.44,66.6,66.39,86.47,1.698554336,4.422613601,6.100048164,7.298034785
DOV,81.82,83.71,92.43,101.44,78.925,80.71809524,86.06126984,95.82174603,76.34,77.06,81.62,89.5,1.351430026,1.867645453,2.957285423,2.426424782
DPS,97.92,98.88,92.44,97.06,93.29419355,93.55857143,90.72126984,89.71031746,89.49,90.23,87.65,84.47,2.417538071,2.694452998,1.190407212,3.758327943
DRE,27.22,29.18,30.14,29.3,25.72209677,28.1015873,28.78603175,28.44587302,24.04,26.62,27.33,26.79,0.73931545,0.589352314,0.687429855,0.722470303
DRI,83.67,92.69,91.34,97.5,74.88903226,87.39174603,84.2,84.46619048,71.55,81.97,77.05,79.17,2.655833486,3.037896949,3.499579237,5.237641192
DTE,102.56,111.19,113.51,115.99,99.51741935,106.4496825,108.8753968,111.6630159,97.1,101.66,104.68,106.6,1.579258942,2.807554882,2.479450918,2.537720361
DUK,82.99,87.14,88.34,91.09,79.48548387,84.05698413,85.65206349,87.35238095,76.5,82.03,83.18,83.6,2.221957989,1.685810454,1.453459897,1.88523697
DVA,70,70.09,66.42,72.36,66.21048387,66.20444444,60.08746032,61.54349206,62.9,62.09,56.13,53.89,2.201581717,1.684105753,3.352998162,6.177416507
DVN,49.01,43.06,37.17,42.58,43.96709677,36.56555556,32.41015873,37.84246032,38.8,30.01,29.54,34.355,2.713814318,3.988358777,1.849016733,2.0699129
DWDP,,,70.41,73.32,,,68.43,71.11904762,,,64.68,68.57,,,2.066800222,0.805252343
DXC,,80.59,85.91,99.02,,76.72063492,81.99746032,93.35285714,,67.95,75.95,85.11,,2.227327976,3.250308158,3.427440232
EA,91.51,115.37,121.97,120.09,85.14322581,102.9933333,115.8303175,111.1565079,78.64,88.4,105.42,100.83,4.035362853,9.849599795,4.199944304,5.049809054
EBAY,34.28,36.14,38.59,38.99,32.5133871,34.21801587,36.35555556,37.11952381,29.76,32.05,34.03,34.38,1.433694006,0.850790685,1.342482988,1.145903543
ECL,125.87,134.61,133.3,137.42,122.2593548,129.1942857,131.5153968,133.0390476,117.86,124.47,128.61,130.23,2.546091747,3.402380909,1.172788001,1.855943994
ED,78.55,84.96,86.05,89.66,75.16790323,80.82888889,82.78253968,85.92714286,72.64,77.82,80.33,80.9,1.779472327,2.240966893,1.459729281,2.288127442
EFX,136.98,142.58,146.21,119.78,127.2074194,137.2561905,132.5668254,112.4065079,117.21,134.23,92.98,107.2,7.018107245,1.814433555,16.88751637,4.079906766
EIX,80.9,82.18,81.49,82.64,75.84903226,80.11412698,79.11507937,76.28150794,71.02,77.59,76.44,63.24,3.437651557,1.202856325,1.313523792,5.600620475
EL,86.53,98.19,110.35,129.62,82.6266129,91.76587302,102.6184127,120.1346032,77.33,83.5,93.86,108.2,2.610217593,4.674432736,5.363614335,7.619739185
EMN,81.47,86,90.49,93.42,78.64790323,80.59142857,85.15793651,90.86031746,75.92,77.25,82.77,87.3,1.413228065,2.061052704,1.433188593,1.468160983
EMR,64.15,61.38,63.89,69.98,59.70225806,59.29428571,60.33269841,64.8018254,56.14,57.44,58,59.02,1.961262908,0.911779038,1.593745038,2.748767217
EOG,105.48,98.57,97.32,109.41,99.72354839,92.08968254,90.2231746,100.7484921,93.38,87.04,83.15,95.76,3.622579507,3.204567792,4.074398758,3.648671172
EQIX,400.37,444.97,474.42,492.98,379.7709677,423.9033333,447.9221429,462.6698413,358.72,399.11,418.43,442.28,7.538467407,14.81089279,12.70156622,13.92461762
EQR,65.38,68.57,68.61,70.37,62.53193548,65.36126984,66.93730159,66.74936508,59.9,62.14,64.41,63.39,1.124386665,1.540572257,0.971098823,1.680309949
EQT,65.86,63.89,67.02,65.91,61.30370968,58.18047619,62.26904762,60.21365079,56.76,50.83,54.42,54.22,2.53584353,3.329527443,1.998842983,3.44282625
ES,60.01,63.24,64.11,65.81,56.85258065,60.72904762,61.69380952,63.22269841,54.25,58.86,59.82,60.21,1.79429509,1.329007287,1.157826702,1.582888546
ESRX,73.16,67.25,63.92,74.99,68.80516129,62.80968254,62.14650794,63.95396825,63.84,59.26,60.3,56.81,2.675016005,2.571265515,0.842598054,5.461412301
ESS,236.77,268.39,269.39,262.53,229.3651613,251.3814286,261.1822222,252.3144444,221.72,230.87,251.42,237.57,3.739305073,11.78015566,4.688865137,7.140088275
ETFC,38.27,38.03,43.61,50.54,35.86032258,35.36301587,40.61031746,45.90206349,33.55,33.22,38.45,42.75,1.200076798,1.238754102,1.121242065,2.712427884
ETN,74.2,78.08,80.61,81.51,71.03225806,76.20619048,75.45777778,77.73634921,66.88,73.51,70.44,74.95,2.020555369,1.216815554,3.47967622,1.236952944
ETR,76.81,80.45,80.34,87.42,73.29032258,77.40031746,77.39380952,83.77333333,70.44,75.14,75.06,75.68,2.103181016,1.628453619,1.46053396,2.91628741
EVHC,72.48,63.36,62.94,45.13,67.03080645,57.62634921,53.30936508,34.97325397,61.32,54.54,42.8,24.79,2.771610941,2.404866908,5.918079427,6.530395381
EW,99.14,120.15,119.58,118.18,93.92419355,109.5022222,114.4163492,110.0985714,89.49,93.09,108.87,101.38,2.646727982,8.867128394,2.672268157,4.732321553
EXC,37.18,37.21,39.62,42.39,35.72774194,35.67619048,37.51492063,40.29126984,34.85,33.5,35.52,37.84,0.448726502,0.973504525,0.857954945,1.227706348
EXPD,57.28,57.3,59.86,65.36,54.83983871,55.0315873,57.25460317,61.28444444,52.08,52.25,54.44,57.49,1.628278274,1.40552046,1.549664714,2.569313814
EXPE,131.2,154.43,159.5,153.4,122.081129,140.3596825,148.1579365,129.7612698,112.44,124.97,141.41,117.32,4.378710831,7.781130187,4.621103471,12.85891237
EXR,79.82,80.8,82.25,87.86,75.47354839,76.67857143,77.8152381,84.32857143,71.64,71.79,74.13,78.7,2.329447339,2.295172252,1.603157024,2.868128454
F,13.17,11.6,11.97,12.72,12.42306452,11.16603175,11.27873016,12.31301587,11.46,10.76,10.56,12,0.353834215,0.181076883,0.409946858,0.220195184
FAST,52.22,51.76,45.73,55.14,50.12491935,44.8915873,43.09777778,49.55190476,46.17,42.1,39.97,44.51,1.486605908,2.449240308,1.175046251,3.184658212
FB,142.65,155.07,173.51,183.03,133.6374194,148.6863492,166.8753968,176.7414286,116.86,139.39,148.43,168.42,5.954923004,4.466637727,6.236565387,3.703241761
FBHS,61.14,66.05,67.3,69.32,57.36274194,63.37238095,64.75396825,66.44452381,53.89,60.48,61.94,63.97,2.298447209,1.339755291,1.555522461,1.555258695
FCX,17.02,13.62,15.53,19.27,14.36887097,12.13650794,14.04746032,15.08698413,12.21,11.21,11.89,13.62,1.468352601,0.683721219,0.941810145,1.44926971
FDX,197.42,217.33,225.58,251.07,191.0135484,197.418254,212.9339683,228.6774603,184.61,183.56,203.55,214.45,3.129643093,9.956257967,5.053754446,10.68794512
FE,32.43,31.78,32.93,35.05,30.84725806,29.7068254,31.48301587,32.49460317,29.58,28.16,29.06,30.32,0.688122104,1.048834723,1.11819214,1.250034613
FFIV,148.79,141.02,129.35,135.49,142.6690323,130.9979365,120.7088889,124.2225397,132.34,125.9,115.56,115.69,3.788179938,4.036772968,4.430577444,6.180439479
FIS,83.84,86.77,95,96.62,80.42774194,83.64031746,90.88047619,93.99531746,76.98,79.13,85.45,90.47,1.768001947,2.078118697,2.005611023,1.314741135
FISV,117.89,125.71,129.27,132.34,112.26,120.9707937,124.2519048,129.1485714,105.38,115.19,120.36,125.52,4.071112951,3.368632489,2.128482617,1.764770713
FITB,28.75,26.07,27.98,31.36,26.65895161,24.71865079,26.53111111,29.16634921,24.73,23.62,24.97,27.67,0.862425638,0.586972966,0.595610587,1.065049297
FL,77.26,77.35,50.64,48.55,72.14258065,64.84492063,42.05952381,37.33507937,67.92,47.5,31.82,29.24,2.924130772,10.74435874,6.699049386,6.701805696
FLIR,37.05,38.94,40.66,47.81,36.04193548,36.47095238,37.9084127,45.65968254,34.15,34.66,34.1,41,0.622293059,1.028829141,1.268544005,2.177552613
FLR,58.17,52.74,50.62,51.76,54.5383871,47.85492063,41.6231746,46.5547619,51.39,43.77,37.23,42.5,1.688019689,2.973127425,3.223310173,3.257564327
FLS,51.85,51.14,47.25,45.38,48.46419355,48.22507937,42.05015873,41.85777778,45.22,44.04,37.58,38.63,1.845118992,1.596386922,3.069632474,1.999631776
FMC,69.59,76.77,92.14,95.54,59.62951613,74.22555556,82.81079365,92.67126984,57.03,70.38,73.55,87.99,1.9529905,1.501410925,5.469916937,1.93467551
FOX,31.82,31.57,29.22,34.72,30.04983871,28.3552381,27.14396825,29.21507937,28,26.53,25.38,24.43,0.822087491,1.45829978,0.902055967,3.407872704
FOXA,32.44,32.15,29.63,35.24,30.55766129,28.76015873,27.5431746,29.84079365,28.72,26.74,25.79,24.97,0.784226526,1.604211687,0.861863745,3.363522684
FRT,145.29,137.48,135.03,133.88,138.1804839,128.9812698,128.6046032,129.0396825,126.98,121.73,123.14,120.52,4.509722621,4.583056978,2.995677437,3.472788676
FTI,36.73,33.64,28.89,31.48,33.16274194,30.30492063,26.95825397,27.81015873,31.22,26.49,25.17,24.96,1.675893859,2.167569527,0.979737522,1.609006398
FTV,60.22,64.79,72.73,74.65,56.8716129,62.40761905,66.05285714,72.61396825,53.66,60.01,62.18,71.1,2.023927519,1.315028166,2.462062097,0.76327296
GD,193.27,204.52,206.8,213.86,184.8385484,195.871746,200.4633333,204.3174603,175.32,185.85,193.84,196.18,5.850296293,5.51539445,2.793764947,5.402039928
GE,31.7,30.27,27.45,24.8,30.20241935,28.60079365,25.22698413,19.92277778,29.39,27.01,23.72,17.36,0.673828517,0.953247931,0.956049727,2.476694724
GGP,26,24.26,24.07,24.05,24.46258065,23.03063492,21.88285714,22.26206349,22.66,21.61,20.5,19.01,0.971849573,0.694324627,1.074101918,1.442443222
GILD,76.38,71.92,85.47,83.52,70.31758065,66.54380952,76.46730159,75.9402381,65.59,64.12,69.25,71.15,2.588946672,1.997857262,5.215134058,3.869475711
GIS,63.19,58.83,57.68,60.18,61.13451613,57.06619048,54.82904762,54.08650794,58.79,54.97,51.23,50.1,1.232005798,0.863319603,1.645210756,2.939830014
GLW,28.2,30.5,32.13,32.64,26.60629032,28.73206349,29.61460317,31.48444444,24.19,26.32,27.87,29.67,1.22255743,1.159813888,1.047528313,0.906212924
GM,38.28,34.93,40.58,46.48,36.56370968,33.9547619,36.53920635,43.38238095,34.26,32.42,34.77,40.81,1.038650186,0.582715714,1.690886675,1.491386792
GOOG,852.12,983.68,980.34,1077.14,820.3882258,915.6244444,931.5844444,1017.919048,786.14,823.35,898.7,951.68,16.26017031,51.78227788,17.18421423,31.73425603
GOOGL,872.37,1004.28,998.31,1085.09,840.9757258,935.5043651,948.5660317,1032.479206,807.77,839.88,919.46,966.78,15.83669333,53.24260803,18.51144742,29.81836532
GPC,100.67,95.61,95.65,98.04,96.17290323,91.89539683,85.08460317,91.34,92.34,88.94,80.48,85,2.304467783,1.450109924,3.515842406,3.919396761
GPN,80.89,93.31,98.08,104.27,78.41112903,86.46492063,94.22714286,99.99650794,70.5,77.5,88.31,95.96,1.778212498,5.322433312,2.321693923,2.242830987
GPS,25.2,26.73,29.7,34.94,23.88225806,23.7968254,24.56507937,29.80825397,22.53,21.9,21.2,25.67,0.64613712,1.555017711,2.32009724,3.187337113
GRMN,54.15,53.58,54.04,62.92,50.34725806,51.25650794,51.77698413,58.66095238,47.35,48.69,49.99,53.83,1.647807455,1.041841048,0.9038995,2.75939259
GS,252.89,229.26,237.19,261.01,241.4567742,222.1933333,225.555873,245.2784127,225.48,211.26,215.84,235.11,7.991006374,4.723263634,4.532595438,7.077791757
GT,36.88,36.23,36.31,34.06,33.96306452,34.43666667,32.49619048,31.75603175,30.39,31.73,29.74,29.06,2.254710616,1.221049258,2.245930678,1.476296084
GWW,258.16,231.73,185.15,237.96,246.186129,188.7173016,168.6822222,206.8142857,230.35,169.51,156.25,172.5,7.829716272,18.8224391,6.97452587,18.0602879
HAL,58.21,50.15,46.03,48.87,53.7766129,45.92015873,41.94952381,44.08079365,47.78,41.5,38.66,41.02,2.758051667,2.260954332,2.194431684,2.091951012
HAS,100.55,111.91,115.95,98.19,92.60467742,103.0701587,101.4136508,93.80055556,79.8,95.5,92.67,88.69,7.418948208,5.407411429,7.193662153,2.593625889
HBAN,14.66,13.52,13.96,14.85,13.66322581,12.94190476,13.14634921,14.05,12.7,12.29,12.18,13.14,0.472928699,0.270905633,0.461628609,0.476983127
HBI,23.83,23.16,25.67,24.98,21.20129032,21.57492063,24.00746032,21.35333333,18.98,20.24,22.53,19.08,1.205935436,0.844811246,0.822247055,1.647115759
HCA,90.49,89.33,87.24,89.69,83.3833871,84.60190476,80.42349206,80.33634921,74.46,81.26,76.25,74.22,3.724840823,2.018852163,3.415700542,4.830697639
HCN,70.93,77.66,75.76,69.55,67.46935484,73.09936508,72.70888889,67.11785714,65.27,69.03,69.91,63.27,1.652317668,2.033724434,1.373952517,1.570753033
HCP,32.79,33.39,32.55,27.23,30.70758065,31.69698413,30.06777778,26.51365079,29.51,29.89,27.66,25.21,0.790819632,0.798174601,1.267659062,0.504017094
HD,149.6,158.81,163.56,190.36,141.8266129,153.3896825,153.3487302,172.6020635,133.53,145.91,144.58,162.71,5.164967409,3.645108507,4.609256637,9.362354639
HES,62.82,51.11,46.94,48.46,52.96919355,46.73825397,42.31047619,45.10984127,45.79,40.31,38.09,41.28,4.712121202,2.696748065,2.448882186,1.602410978
HIG,49.87,52.75,56.81,57.65,48.40145161,49.55793651,54.38507937,55.78603175,47.05,47.26,51.64,54.06,0.668442885,1.623100536,1.224713097,0.65691984
HII,219.47,205.62,226.44,251.96,203.2672581,195.5480952,208.5469841,235.8688889,189.05,185.22,191.38,229.93,9.787224387,5.805332048,8.458772624,3.212524438
HLT,59.46,67.41,69.5,80.45,57.69655738,62.23047619,63.74174603,74.18380952,55.4,56.6,60.82,68.86,0.877659549,3.546927989,2.418031417,3.328698975
HOG,62.94,62.05,54.83,51.84,58.73193548,55.64809524,48.66460317,48.62111111,56.25,51.86,45.93,44.78,1.674209222,2.758403499,1.861560068,2.001687281
HOLX,42.78,46.49,45.41,43.82,40.76919355,44.14087302,40.36301587,39.88634921,39.03,42.23,36.65,35.9,1.16490209,1.213445355,3.325194942,2.513365756
HON,127.25,135.84,141.75,155.96,122.2430645,130.605873,137.3807937,148.484127,116.18,122.5,133.37,142.55,3.792782442,3.883268757,1.988711937,4.463380621
HP,81.11,69.08,58.12,65.61,71.18645161,58.63698413,49.46777778,56.06142857,64.15,50.08,42.34,50.02,4.989607264,5.617366974,4.433654447,3.975649209
HPE,24.78,19.11,18.06,14.97,23.11983871,17.94698413,16.33047619,14.20650794,22.15,16.49,13.12,13.1,0.668495968,0.883443839,1.710565299,0.528699435
HPQ,17.88,19.47,19.97,22.46,16.17758065,18.35888889,19.03492063,21.2684127,14.58,17.27,17.19,20.09,1.176522642,0.636849886,0.633049132,0.489486915
HRB,24.45,31.34,31.51,28.99,22.36225806,26.24634921,29.04825397,25.95539683,20.05,22.95,25.69,23.86,1.365206307,2.545889984,2.055743755,1.00173531
HRL,37.87,35.43,34.42,37.68,35.67451613,34.45111111,32.69555556,33.62246032,34.15,33.12,30.7,30.15,0.961976581,0.473671695,1.251378308,2.557311919
HRS,112.55,113.82,131.8,144.5,106.9403226,110.1042857,119.9752381,139.595873,99.99,107.18,109.67,132.81,4.203997305,1.430524057,6.086750777,3.307681497
HSIC,86.77,93.285,92.845,84.53,82.83387097,88.84948413,86.99555556,73.95047619,77.675,83.775,79.14,66.5,3.141590573,3.187266094,4.214197118,5.798062643
HST,19.34,19.27,18.81,20.58,18.27129032,18.3484127,18.18619048,19.60007937,17.75,17.48,17.38,18.2,0.301588602,0.431860963,0.35828187,0.534135186
HSY,109.61,115.96,110.5,115.45,107.2253226,110.3288889,106.5269841,110.0226984,103.45,106.41,104.06,102.87,1.769383256,3.156050569,1.577533431,3.075496397
HUM,219.25,240.62,258.75,260.86,206.7477419,226.402381,245.3166667,246.9296825,195.24,209.77,231.2,233.28,6.687275762,9.190641754,8.003002461,6.967036434
IBM,181.95,174.52,155.58,162.07,175.3929032,157.6960317,145.7192063,152.1030952,165.52,150.37,139.7,146.48,4.639529861,7.220171238,4.050162204,3.656481257
ICE,61.55,66.14,71.07,72.07,58.51306452,61.33285714,65.92269841,68.65015873,56.22,58.07,64.3,65.24,1.3097836,2.246050604,1.158068757,2.050702863
IDXX,154.72,171.94,170.18,168.37,137.843871,162.3963492,158.101746,157.4052381,115.95,153.6,150.32,147.68,13.77324781,4.725320027,5.454372777,4.361388451
IFF,136.89,139.73,145.01,155.44,122.8183871,135.5966667,137.1877778,150.278254,115.26,128.98,131.69,144.47,6.220812554,2.71050882,4.166040684,2.881753241
ILMN,173.16,188.85,213.93,230.03,161.9725806,177.8760317,191.3801587,211.5360317,131.13,167.48,169,202.23,8.369771906,5.099081682,14.13817978,6.182963727
INCY,152.66,141.55,138.27,116.6,127.3177419,127.2492063,126.5161905,104.521746,102.32,115.19,109.15,93.56,12.45542178,7.50101978,7.646067813,8.217435935
INFO,41.95,47.86,48.43,45.59,39.55258065,44.56888889,46.09396825,44.11746032,35.92,41.78,43.72,42.45,1.447206394,1.738250985,1.277025955,0.838583614
INTC,37.98,37.43,38.08,47.56,36.18774194,35.78388889,35.54555556,43.63714286,35.04,33.54,33.46,39.04,0.704559901,0.846349583,1.154233132,2.689050335
INTU,128.01,142.81,146.32,161.13,119.8512903,129.6904762,138.0193651,152.4115873,114.75,115.81,131.1,141.74,3.616546439,9.272722993,4.0912538,5.286222569
IP,57.99,56.94,58.17,58.67,52.90774194,53.37031746,55.49587302,56.68936508,50.27,49.64,52.21,53.89,1.825081556,2.038513823,1.608839128,1.319678447
IPG,24.74,25.21,25.57,21.34,23.99080645,24.43746032,21.75015873,19.93809524,22.97,23.57,19.58,18.45,0.524467875,0.371500741,1.884223543,0.862952279
IQV,82.3,91.08,98.82,108.56,78.04032258,84.43174603,92.65619048,101.8,75.35,78.23,87.57,95,1.612283756,3.463123958,2.964491703,3.510050546
